h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.179229504,0.180038896,0.241399882,0.485081658,0.61046163,0.71870282,0.556593098,0.576845018,0.574377729,0.570292295,0.572970914,0.572348506,0.57601216,0.575682682,0.843015328,1.0,1.0,1.0,0.999845106,0.755976565,0.522795565,0.0,0.227939008
0.174539742,0.179666109,0.200168577,0.0,0.465843753,0.569479826,0.574420265,0.574962256,0.574962256,0.574962256,0.574962256,0.574905833,0.574962256,0.433736512,0.5971272,0.789197212,0.862443384,0.872964327,0.998002553,1.0,1.0,1.0,0.997083244
0.176572083,0.180400168,0.206300378,0.0,0.536871041,0.569339436,0.564285666,0.573787016,0.573705901,0.574962256,0.574962256,0.574962256,0.0,0.435979277,0.653717915,0.862443384,0.99915792,1.0,1.0,1.0,1.0,1.0,0.925115319
0.960873309,0.316648054,0.198008577,0.1936829,0.205900317,0.0,0.529926902,0.645816115,0.807516036,0.883623141,0.826817307,0.654863692,0.741105637,0.800727758,0.888433859,1.0,0.818977708,0.796041567,0.62992394,0.554541796,0.0,0.243529861,0.205653612
0.465067861,0.271064468,0.181670362,0.179459222,0.173135531,0.193987286,0.0,0.0,0.529078408,0.555840204,0.519342628,0.554025676,0.564835273,0.572644465,0.695881385,0.862443384,0.996939286,0.889407053,0.937936902,1.0,1.0,0.998097576,0.770504659
0.180885985,0.179283461,0.259133342,0.512244974,0.56079203,0.563159755,0.5703237,0.574385098,0.57632232,0.577254191,0.577059559,0.576311965,0.575894974,0.587109115,0.807645406,0.995347426,0.99987762,0.99992605,1.0,0.788112878,0.504452062,0.0,0.279211264
0.846911657,0.154990305,0.035438656,0.017550163,0.0,0.154990305,0.404736655,0.666396423,0.678695663,0.836865129,0.736428461,0.671068019,0.666396423,0.713753236,0.843354621,0.997793445,0.999836998,1.0,0.99891078,0.762451637,0.335413412,0.154990305,0.035931665
0.1738627,0.181640792,0.194572665,0.0,0.537002892,0.575678714,0.566362739,0.553612949,0.555730051,0.574387884,0.574850777,0.571551095,0.568343455,0.573528903,0.774102993,0.873312965,0.985910889,0.996047573,0.999926636,1.0,1.0,1.0,0.99419246
0.835495863,0.147897749,0.019345454,0.0,0.093077779,0.319797278,0.723892834,0.893804697,0.99972628,0.999205752,0.997584771,0.867454805,0.782942072,0.843305112,0.993689236,1.0,1.0,1.0,0.998245525,0.72880453,0.343394372,0.147897749,0.02337683
1.0,0.326885368,0.206727261,0.202921415,0.232124203,0.0,0.549935304,0.652733851,0.889633938,0.853201187,0.81975545,0.775211088,0.674509422,0.836587045,0.90872591,0.98370654,0.916654697,0.81975545,0.649962617,0.538802134,0.0,0.223947078,0.207241281
0.001361149,0.0,0.062566678,0.38581417,0.45419612,0.480716912,0.481918569,0.464014259,0.460102036,0.463832534,0.471817706,0.468272533,0.481727624,0.419376601,0.708433278,0.890423357,0.999940245,0.999976543,1.0,0.942114414,0.437160233,0.311920788,0.131185751
0.00050816,0.0,0.058895653,0.336070027,0.476854704,0.484327452,0.441249412,0.478484578,0.458346944,0.473056679,0.474972868,0.44214666,0.466178106,0.380554719,0.684454477,0.819298083,0.999630562,1.0,1.0,0.996523388,0.575222325,0.343455951,0.13058979
0.179313154,0.180719727,0.221914332,0.431215767,0.558638661,0.577320867,0.5617929,0.562920003,0.561849419,0.561716287,0.57109809,0.522924986,0.574954356,0.499825503,0.730294608,0.861860281,0.999467101,0.99998626,0.99998626,1.0,0.784615561,0.439874623,0.0
